Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Consumer price index (2010 = 100),FP.CPI.TOTL,Australia,AUS,7.96045785639958,8.14255983350676,8.1165452653486,8.16857440166493,8.40270551508845,8.68886576482831,8.97502601456816,9.28720083246618,9.5213319458897,9.83350676378772,10.1716961498439,10.79604578564,11.4464099895942,12.4869927159209,14.4120707596254,16.5972944849116,18.8085327783559,21.1238293444329,22.8147762747138,24.8959417273673,27.4193548387097,30.0208116545265,33.4287200832466,36.7845993756504,38.2414151925078,40.8168574401665,44.5109261186264,48.309053069719,51.7950052029136,55.6971904266389,59.7814776274714,61.6805411030177,62.3048907388137,63.3975026014568,64.6462018730489,67.6378772112383,69.4068678459938,69.5629552549428,70.1612903225807,71.2018730489074,74.3756503642039,77.6534859521332,79.9687825182102,82.1540062434963,84.0790842872008,86.3423517169615,89.4120707596254,91.4932362122789,95.4734651404787,97.1644120707596,100,103.303850156087,105.124869927159,107.700312174818,110.379812695109,112.044745057232,113.475546305931,115.686784599376,117.89802289282,119.797086368366,120.811654526535
Consumer price index (2010 = 100),FP.CPI.TOTL,Canada,CAN,13.3443045220378,13.480251860332,13.6233543216943,13.845163136806,14.1099026903263,14.4390383514596,14.9899828277046,15.5266170578134,16.1562678878077,16.8932455638237,17.4585002862049,17.9307384087006,18.8251287922152,20.2346880366342,22.4599313108185,24.8568975386377,26.7315397824843,28.8637664567831,31.4539210074413,34.3302804808243,37.807670291929,42.522896393818,47.1021751574127,49.8640526617058,52.0105895821408,54.0712650257585,56.3394390383515,58.7936462507155,61.1619919862622,64.2100744132799,67.279622209502,71.0646823125358,72.1236405266171,73.468803663423,73.590440755581,75.1717229536348,76.3523182598741,77.5901545506583,78.3629078420149,79.7223812249571,81.8903835145964,83.9582140812822,85.8543216943332,88.2226674298798,89.8611906124786,91.850314825415,93.689181453921,95.6926159129937,97.9607899255867,98.2541499713795,100,102.912135088724,104.471951917573,105.452203777905,107.462793360046,108.672009158558,110.224670864339,111.984831139096,114.524899828277,116.75729822553,117.594447624499
Consumer price index (2010 = 100),FP.CPI.TOTL,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.0483197849659,27.9326123967096,33.1872445880263,39.2424692179247,40.4402632290027,41.8785962689823,44.5395544614716,51.0468183922653,63.4292398842776,74.0797863737528,80.2381577567065,82.4739659836287,81.8362888154734,80.6893755831361,80.9700222903012,81.552298456301,80.9553593614031,81.8682148167155,84.9993772047539,86.5093181065059,87.9362296125359,92.1719134940608,97.6333310615016,96.9223990713835,100,105.553898922575,108.318908982374,111.158001765192,113.294060199837,114.922122819496,117.220567369674,119.088050428682,121.558877866113,125.083154382075,128.109443605623
Consumer price index (2010 = 100),FP.CPI.TOTL,France,FRA,10.4335934118144,10.684047757307,11.2536442661317,11.8162311495891,12.1956729838639,12.5253347762586,12.8512440831266,13.2100221717785,13.8101805416249,14.6451389255486,15.4212787485263,16.2536451459642,17.239104154569,18.5114536592233,21.0381407380035,23.4966425592567,25.7583108976051,28.2039478083373,30.8129704904186,34.0935455489275,38.7175095461824,43.872515792993,49.1277727920604,53.7750382727129,57.9016285699203,61.2779302820743,62.8334864241848,64.9000158369847,66.65284537824,68.9845633391402,71.1881257808513,73.4756902285805,75.2124795438949,76.7952981752274,78.0666561086769,79.4691090816309,81.0448890531243,82.0206232733288,82.5546815886255,82.998117158493,84.3891323092084,85.768709637685,87.4183955374897,89.2528462580725,91.1647222368861,92.7563391930177,94.3101233525137,95.7134561579475,98.4057435464288,98.4919671294586,100,102.11159795175,104.107058016154,105.006246810607,105.539425293424,105.579017755019,105.772580900597,106.864453008147,108.842316422953,110.04856675289,110.572946910908
Consumer price index (2010 = 100),FP.CPI.TOTL,Germany,DEU,24.6460742608568,25.211375300889,25.9282053142313,26.6974850184266,27.3210656767911,28.206904617651,29.2034710807453,29.7279787109811,30.1650704876205,30.7420269152339,31.8027011371888,33.4694724893987,35.3052518756507,37.7879262693316,40.4279542029489,42.817379241652,44.6356768867455,46.3024482389554,47.5612685171675,49.4844664374426,52.1769440619129,55.4871750976949,58.3952840934829,60.3184829072334,61.76962199465,63.0459249074963,62.9643354074771,63.1216871604626,63.9259357078278,65.7034345822721,67.4751088900899,70.2058513887602,73.7561467762199,77.0564209213001,79.131594552623,80.4817065810455,81.6484711875156,83.2319366733174,83.9903338462181,84.4820410982636,85.6988090597341,87.3989508274879,88.6407200197208,89.5574669577133,91.0492556053748,92.4577053280355,93.9161592991721,96.0746736424467,98.5998828296261,98.9082417662438,100,102.075174524798,104.125345138408,105.692141052259,106.650555219063,107.199187580619,107.726338111313,109.35246347718,111.246631485772,112.854887342124,113.426711646605
Consumer price index (2010 = 100),FP.CPI.TOTL,Iceland,ISL,0.0416116196498568,0.0435721963607149,0.0483722402560701,0.0546258112073471,0.0651385764573067,0.0699048132850562,0.0773752942093307,0.0799443249349781,..,..,..,..,..,..,..,..,0.507352970804082,0.66116585830157,0.950425909971896,1.37283753348268,2.17633773459415,3.30353359552646,4.96333545878582,9.13005786918498,11.9468995763541,15.7692657756868,19.2587521708799,22.7826740057939,28.643632877025,34.5895340543029,39.9546205205733,42.675042283937,44.3597299502815,46.1531285837859,46.8697280308314,47.6436557445876,48.7206019830776,49.6050907987989,50.428159155385,52.0579128471197,54.7318525647267,58.2374745193488,61.2640890583377,62.5234724516806,64.498084533929,67.0696540124831,71.5546548024829,75.1692792371018,84.7115639190804,94.8796029310126,100,104.001026643431,109.394415767139,113.630473015855,115.953778501939,117.847368154088,119.847152693711,121.956960656067,125.22896551876,129.003331214359,132.677248064403
Consumer price index (2010 = 100),FP.CPI.TOTL,Israel,ISR,0.00089780432101586,0.000958763648929931,0.00104896599367724,0.00111799988662951,0.0011758312304975,0.00126646822036885,0.00136690380507819,0.00139022445740122,0.00141913030819666,0.001454013301138,0.00154286430313949,0.00172758621342904,0.00195012520721863,0.00234078053443778,0.00326960205483233,0.00455477686817189,0.00598091728740216,0.00805131148729013,0.0121213256999174,0.0216135398464914,0.0499326847873249,0.108258382827826,0.238562926181863,0.586000096229102,2.77658866535073,11.2336381567151,16.6218396987628,19.7955890263583,23.0500268961807,27.729962345347,32.5174825174825,38.7036040882195,43.3566433566434,48.1172673480366,54.0254617177694,59.3957324726556,66.1646046261431,72.0907297830375,76.0534337457414,79.9892415277031,80.8319885242962,81.7643894566971,86.4712210866057,87.0987986372602,86.740182894029,87.8787878787879,89.6897973821051,90.1022054868209,94.2083557468173,97.3552088936704,100,103.478572709342,105.226824457594,106.885422270038,107.405415097723,106.724045185584,106.141294602833,106.401291016676,107.270934194011,108.17643894567,107.539896001434
Consumer price index (2010 = 100),FP.CPI.TOTL,Iraq,IRQ,59.0598509946838,59.6009930404557,60.3712537247223,62.7589111090682,62.7023424108106,62.4166825363423,63.6545419918428,65.7493810701136,67.193550434203,71.0499587377007,74.1446073760553,76.8107662027868,80.7941344501047,84.7457627116525,91.2711864402542,99.9576271177966,112.77542372839,123.114406779237,128.79237288072,..,..,..,..,..,..,..,..,..,..,..,0.0305675511365077,0.0858802627168549,0.157689747926428,0.485199224389011,2.66131774577372,12.9688900686939,10.878651810026,13.3876169993416,15.3648038387268,17.2973523494682,18.1585809727587,21.1318818198146,25.2138628945993,33.689808145451,42.7732228252376,58.5819839542804,89.7657381057621,80.728579085367,90.951120244213,97.2027505173907,100,105.801455370853,112.243807997863,114.353428132719,116.910341144268,118.539288337005,119.198984840636,119.418381179572,119.857173857442,119.618699575991,..
Consumer price index (2010 = 100),FP.CPI.TOTL,Japan,JPN,18.9709893809894,19.9894396961064,21.3558059224726,22.7881196581197,23.654156954157,25.2285754985755,26.5003056203056,27.5576275576276,29.0290486057153,30.5530216696883,32.6685660018993,34.7578347578348,36.4413364413364,40.6716740050073,50.1165501165501,55.995855995856,61.2449279115946,66.2436329102996,69.0322023655357,71.5876715876716,77.1561771561771,80.9462142795476,83.1649831649832,84.7448847448847,86.6614866614867,88.4226884226884,88.9493222826556,89.0615557282224,89.6658896658896,91.703358370025,94.5264611931279,97.5999309332643,99.3179659846326,100.552533885867,101.251834585168,101.122334455668,101.260467927135,103.030303030303,103.71233704567,103.358370025037,102.659069325736,101.899335232669,100.958300958301,100.699300699301,100.690667357334,100.405767072434,100.656133989467,100.716567383234,102.106535439869,100.725200725201,100,99.7323663990331,99.680566347233,100.0259000259,102.788569455236,103.600103600104,103.47923681257,103.962703962704,104.981438314772,105.482172148839,105.464905464905
Consumer price index (2010 = 100),FP.CPI.TOTL,Italy,ITA,4.1478356168675,4.23289517040142,4.43146636159585,4.76181969210581,5.04335383070425,5.27127652200706,5.39497171356003,5.59638425993536,5.66786762342352,5.81847719079905,6.10755774939256,6.400211418762,6.76819182627925,7.49906297020349,8.93586615636377,10.4505403785668,12.1868105543459,14.274417147842,16.0007671336392,18.3686524290589,22.2378562869468,26.2338431191814,30.557289236041,35.0328860337616,38.8145095180515,42.3877699427438,44.8562416131162,46.9856951996717,49.3623479415055,52.4523476876402,55.838990721391,59.328927249434,62.455911747802,65.3455810784169,67.9932808957477,71.5530164769477,74.4201291680352,75.9406126299779,77.4253165947392,78.7132557275131,80.7107504637521,82.9586783816502,85.0038779193305,87.2756537574471,89.201597564227,90.9725106234272,92.8746038216872,94.5739686397295,97.740146777842,98.497406286648,100,102.780632728793,105.90656520528,107.198618335037,107.457017849343,107.498700856028,107.397634171255,108.714901774357,109.951520340534,110.623595648239,110.471258578492
